,cluster,title
41,9,"Google Launches Hate Crime Tracking Tool, Omits Conservative Websites"
42,5,Why John Deere Just Spent $305 Million on a Lettuce-Farming Robot | WIRED
43,4,AI is so hot right now researchers are posing for Yves Saint Laurent - The Verge
44,6,The top 16 US startups to launch so far in 2017
45,1,"We need to nationalise Google, Facebook and Amazon. Here’s why | Nick Srnicek"
46,2,Researchers produce images of people’s faces from their genomes
47,2,This Pen Can Diagnose Cancer in 10 Seconds
48,3,Facebook uncovers $100G in fake ad spending tied to Russian operatives during 2016 election | Fox News
49,4,"IBM and MIT pen 10-year, $240M AI research partnership | TechCrunch"
50,4,"For IT Professionals, Top Institute Launches 6 Courses In New Techs"
51,3,"Facebook to open new office in Kendall Square, adding hundreds of jobs - The Boston Globe"
52,3,"Facebook to open new office in Kendall Square, adding hundreds of jobs"
53,2,Uber's self-driving cars hit Toronto streets today — in manual mode
54,2,AI that can determine a person’s sexuality from photos shows the dark side of the data age | TechCrunch
55,4,Google Builds China Workforce to Develop Artificial Intelligence
56,8,Google adds voice search in Indian languages: Here’s how it will work
57,0,AI Programs Are Learning to Exclude Some African-American Voices
58,8,WireX DDoS Botnet: An Army of Thousands of Hacked Android SmartPhones
59,1,Infosys: Vishal Sikka resigns as MD & CEO of Infosys; stock cracks
60,6,Asus has a motherboard that supports up to 19 GPUs
61,7,Advanced Computer Models Suggest Most Global Warming Is From Natural Forces
62,4,Stop pretending you really know what AI is and read this instead
63,5,The Digital Banking Executive Securing Your Money With Blockchain - Bloomberg
64,4,OpenAI bot remains undefeated against world’s greatest Dota 2 players | TechCrunch
65,6,Elon Musk heralds the future of AI as a Dota 2 bot beats a human champ
66,6,YOUTUBE launches new censorship scheme...
67,9,Google's New Street View Cameras Will Help Algorithms Index The Real World | WIRED
68,2,A Frightening AI Can Determine Whether a Person Is Gay With 91 Percent Accuracy
69,9,Google has updated its Street View cameras for the first time in eight years - The Verge
70,2,LGBT groups denounce 'dangerous' AI that uses your face to guess sexuality | World news | The Guardian
71,6,'Did you get it all?' Experimental 'pen' could help surgeons detect remaining cancer instantly
72,6,"Local team finds speedy test for malaria, Singapore"
73,3,Say goodbye to video clickbait on Facebook
74,2,Economic View: Evidence of a Toxic Environment for Women in Economics
75,4,Elon Musk Claims Smart Robots Worse Threat than North Korea
76,6,"People Are So Desperate For New Game of Thrones, an AI Just Wrote The Next Book For Us"
77,8,13 everyone is going to love about iOS 11 |
78,1,3The days of a Whole Paychecka are over. Herea s how the Amazon-Whole Foods deal affects you.
79,6,Russia Sees Artificial Intelligence as Key to World Domination
80,1,YouTube Removes Videos Showing Atrocities in Syria
81,2,AI uses bitcoin trail to find and help sex-trafficking victims
82,6,'Did you get it all?' Experimental 'pen' could help surgeons detect remaining cancer instantly
83,8,13 things everyone is going to love about iOS 11 (AAPL)
84,4,Superbrains getting closer? Musk ‘lines up $100m’ to fund Neuralink brain-computer interface
85,2,"This shuttle bus will serve people with vision, hearing, and physical impairments—and drive itself"
86,6,Anti-fake news startup Factmata has raised seed funding from Mark Cuban and others - Business Insider
87,8,Google buys startup that turns smartphones into health diagnostic tools
88,4,GraphPath’s “Knowledge Graph as a Service” could insert AI into global corporates
89,2,‘Brains linked to computers will kill our inner freedom’ - Zizek to RT on biohacking & identity loss
90,8,Android Wear 2.0 updates and latest news
91,2,Three Indians make it to MIT TR Innovators Under 35 list - Livemint
92,8,13 things everyone is going to love about iOS 11
93,1,LiftIgniter raises $6.4M to bring website personalization to the rest of the Internet
94,2,Trump’s first list of science priorities ignores climate—and departs from his own budget request
95,3,"Facebook Wins, Democracy Loses - The New York Times"
96,7,"Delingpole: Global Warming Is Almost Entirely Natural, Study Confirms"
97,7,Climate change is NATURAL: Scientist blows global warming debate WIDE OPEN
98,4,China Is Using America’s Own Plan to Dominate the Future of Artificial Intelligence | Foreign Policy
99,2,What machines can tell from your face
